slice_col,slice_value,horizon,n,positive_rate,mean_pred,brier,log_loss,ece_10
category,Meta,p_24h,68,0.38235294117647056,0.3569961307526837,0.07833970684816968,0.24491844713735933,0.07127007783408894
category,Middle East,p_final,95,0.4842105263157895,0.47159308867235183,0.006976692735879561,0.031489241813754114,0.026118670897358323
category,Middle East,p_6h,95,0.4842105263157895,0.47469669709221646,0.008809675172361512,0.0363833030671525,0.029674173897783918
category,Middle East,p_24h,95,0.4842105263157895,0.47708134217825177,0.007799398211635548,0.0349885544214983,0.028899709484283536
category,Middle East,p_168h,89,0.4606741573033708,0.47034942228144366,0.028187818735034356,0.09242669649091162,0.03650049028831951
category,Movies,p_final,136,0.18382352941176472,0.17890349032613248,0.025759898642493794,0.08899206559680813,0.04203912859364611
category,Movies,p_6h,135,0.17777777777777778,0.1863584395765962,0.023356375568881142,0.08867653512972878,0.05579904855691472
category,Movies,p_24h,131,0.183206106870229,0.19464910557153509,0.03866177349309487,0.13392719908757375,0.041140861305278296
category,Movies,p_168h,45,0.2,0.16834126488156778,0.062077398924314284,0.19344799849238328,0.09261993734298941
category,MrBeast,p_final,64,0.1875,0.2452436616523684,0.07698496454560254,0.22088702356864262,0.10687802479019268
category,MrBeast,p_6h,57,0.19298245614035087,0.251989878903914,0.08671936155301521,0.24796992037829482,0.10119337057823045
category,MrBeast,p_24h,46,0.21739130434782608,0.28722181517373196,0.08805825275614056,0.24470004704469964,0.10688701137886317
category,NBA,p_final,220,0.02727272727272727,0.029696373874041518,0.00022940963201449542,0.003211693378899737,0.0030807136521401506
category,NBA,p_6h,220,0.02727272727272727,0.029696373874041518,0.0002293823592872227,0.0032116796327524956,0.0030807136521401506
category,NBA,p_24h,220,0.02727272727272727,0.02949471508001333,0.000421445129340529,0.004462178121860206,0.004221987807286069
category,NBA,p_168h,220,0.02727272727272727,0.030280902990688613,0.0010821956584668043,0.007093999276523975,0.006426357536143173
category,NCAA,p_final,140,0.3142857142857143,0.28175767386870465,0.15035895753769443,0.42088220310658914,0.056003406207021
category,NCAA,p_6h,114,0.2631578947368421,0.22408580083237534,0.12799806614216547,0.3575870953969696,0.09117736999068549
category,NCAA,p_24h,81,0.13580246913580246,0.1241948263447372,0.06776122317669109,0.19414583999887344,0.05224420327541658
category,NCAA,p_168h,58,0.017241379310344827,0.018948949643182562,0.013064114382507798,0.0435926978148137,0.0194661940096158
category,NCAA Basketball,p_final,65,0.38461538461538464,0.30224213691910057,0.11406386010799792,0.3248454306137594,0.13908821092393914
category,NCAA Basketball,p_6h,45,0.2,0.21790874199082175,0.04869021936326921,0.15068551460796278,0.06619063758102281
category,NCAA Basketball,p_24h,39,0.1794871794871795,0.18707419446762769,0.023811534635631546,0.08290705736397984,0.04047637689860611
category,NCAA Basketball,p_168h,31,0.16129032258064516,0.15754862407527956,0.026405929390751058,0.10379930132533642,0.08580668859140861
category,NFL Free Agency,p_final,41,0.024390243902439025,0.029696910569105693,5.708897127371283e-05,0.005384244989394874,0.0053554471544715486
category,NFL Free Agency,p_6h,41,0.024390243902439025,0.029696910569105693,5.708897127371283e-05,0.005384244989394874,0.0053554471544715486
category,NFL Free Agency,p_24h,41,0.024390243902439025,0.029696910569105693,5.708897127371283e-05,0.005384244989394874,0.0053554471544715486
category,NFL Free Agency,p_168h,41,0.024390243902439025,0.029696910569105693,5.708897127371283e-05,0.005384244989394874,0.0053554471544715486
category,NFLX,p_final,56,0.375,0.364431444160349,0.008499550858233812,0.028464966873291208,0.021307409864684535
category,NFLX,p_6h,56,0.375,0.3672792811726994,0.008954526673333131,0.03185321688773931,0.02444096116274929
category,NFLX,p_24h,52,0.36538461538461536,0.3593147808005482,0.010016448925913853,0.0368353891088437,0.02864675489352843
category,NVDA,p_final,63,0.5079365079365079,0.4914491458042438,0.014152072314210038,0.058652941372586545,0.04896669048277657
